,group1,group2,weight
123,20064276,20836828,1
124,20064276,22197221,1
125,20064276,22422502,2
126,20064276,20197351,1
127,20064276,1642477,3
128,20064276,18361585,1
129,20064276,18243826,2
130,20064276,14566132,1
131,20064276,11776502,1
132,20064276,6629622,3
133,20064276,18256892,1
134,20064276,18414590,1
135,19275797,535553,1
136,19275797,16487812,2
137,19275797,18456837,1
138,19275797,11862932,1
139,19275797,18494105,1
140,19275797,4631582,1
141,19275797,1728035,1
142,19275797,20186791,1
143,19275797,6641192,1
144,19275797,7836842,1
145,19275797,19997487,1
146,19275797,17467312,1
147,19275797,405938,1
148,19275797,18855476,1
149,19275797,9376702,1
150,19275797,10178242,1
151,19275797,19904711,1
152,19275797,227528,1
153,19275797,14546632,1
154,19275797,19030621,1
155,19275797,10016242,1
156,19275797,7130232,1
157,20135961,18562307,1
158,20135961,11375762,1
159,20135961,21390741,1
160,20135961,19713173,3
161,20135961,19249559,1
162,20135961,18506072,3
163,20135961,19847832,1
164,20135961,3870752,1
165,20135961,6190702,1
166,20135961,19828207,2
167,20135961,8908602,1
168,3870752,16487812,1
169,3870752,19728145,1
170,3870752,18494105,1
171,3870752,20186791,1
172,3870752,1451826,1
173,3870752,16447162,1
174,3870752,1526075,3
175,3870752,18180033,1
176,3870752,339011,1
177,3870752,14649032,1
178,3870752,2542802,1
179,3870752,18506072,2
180,3870752,11625832,1
181,3870752,526316,1
182,3870752,16877932,1
183,21143591,1772099,1
184,21143591,227528,1
185,21143591,20806988,1
186,21143591,19728145,1
187,21143591,4705492,1
188,21143591,21933145,1
189,21143591,21174496,1
190,21143591,22730657,1
191,21143591,20336043,5
192,21143591,15552112,1
193,21143591,18243826,1
194,21143591,18297014,1
195,21143591,18955830,1
196,1585196,1102353,7
197,1585196,23816722,1
198,1585196,2556962,1
199,1585196,2520612,1
200,1585196,20583464,1
201,1585196,6641192,1
202,1585196,18955830,10
203,1585196,20181560,7
204,1585196,18567736,1
205,1585196,22023226,1
206,1585196,339011,44
207,1585196,1772099,2
208,1585196,1179719,1
209,1585196,1417288,2
210,1585196,18604107,1
211,1585196,168014,1
212,1585196,13560402,1
213,1585196,19030621,2
214,1585196,16477792,2
215,1585196,20166757,1
216,1585196,1507431,3
217,1585196,6190702,1
218,1585196,15552112,2
219,1585196,24039540,1
220,1585196,1292918,2
221,1585196,929402,8
222,1585196,1473660,1
223,1585196,1240194,1
224,1585196,541319,1
225,1585196,19708553,1
226,1585196,19824779,1
227,1585196,6230672,3
228,1585196,1776274,2
229,1585196,18795154,1
230,1585196,19713173,9
231,1585196,18494105,2
232,1585196,22374557,1
233,1585196,252576,4
234,1585196,11131552,2
235,1585196,20493986,1
236,1585196,20186791,1
237,1585196,1324203,2
238,1585196,19828398,2
239,1585196,15335602,1
240,1585196,18297014,3
241,1585196,1307837,1
242,1585196,6707902,2
243,1585196,4126912,1
244,1585196,20384452,1
245,1585196,16062152,1
246,1585196,4705492,1
247,1585196,11077852,2
248,1585196,21174496,3
249,1585196,25397992,1
250,1585196,18243826,14
251,1585196,1505523,1
252,1585196,6629622,3
253,1585196,15297782,1
254,1585196,1358081,1
255,1585196,6928642,1
256,1585196,18562307,3
257,1585196,18495240,30
258,1585196,12847372,7
259,1585196,19728145,18
260,1585196,19416348,1
261,1585196,18425641,1
262,1585196,20931376,1
263,1585196,1526075,1
264,1585196,20757821,1
265,1585196,5282132,2
266,1585196,19266390,3
267,1585196,1371991,3
268,1585196,18506072,6
269,1585196,18286946,1
270,1585196,20129636,1
271,1585196,19934054,1
272,1585196,11625832,3
273,1585196,18529135,1
274,1585196,1763190,3
275,1585196,18571126,1
276,1585196,1187715,6
277,1585196,16487812,2
278,1585196,24803205,2
279,1585196,20586888,1
280,1585196,1665418,1
281,1585196,6335372,1
282,1585196,11862932,1
283,1585196,19249559,3
284,1585196,22730657,2
285,1585196,19218850,1
286,1585196,21837219,1
287,1585196,20336043,4
288,1585196,18314669,1
289,1585196,18589616,3
290,1585196,18314164,1
291,1585196,9376702,1
292,1585196,1751502,1
293,1585196,18944977,1
294,1585196,18616278,1
295,1585196,1349592,7
296,1585196,17872862,1
297,1585196,18573279,1
298,1585196,23515107,2
299,1585196,22197221,8
300,1585196,19443174,2
301,1585196,20807142,1
302,1585196,22422502,1
303,1585196,526316,1
304,1585196,1642477,2
305,1585196,22736876,1
306,1585196,19828207,2
307,1585196,10016242,2
308,1585196,5327862,1
309,1585196,16548342,1
310,1585196,47094,1
311,1585196,18414590,1
312,1179719,535553,1
313,1179719,18798102,2
314,1179719,191516,4
315,1179719,788001,2
316,1179719,1728035,1
317,1179719,18855476,1
318,1179719,18955830,5
319,1179719,11294262,1
320,1179719,20181560,1
321,1179719,339011,2
322,1179719,168014,1
323,1179719,13560402,1
324,1179719,19030621,1
325,1179719,7130232,1
326,1179719,929402,1
327,1179719,710272,2
328,1179719,19713173,1
329,1179719,17487002,2
330,1179719,22374557,1
331,1179719,20186791,1
332,1179719,7836842,2
333,1179719,1324203,4
334,1179719,19828398,1
335,1179719,15335602,1
336,1179719,18297014,1
337,1179719,1578685,1
338,1179719,10178242,1
339,1179719,19556549,1
340,1179719,16062152,1
341,1179719,227528,2
342,1179719,18660552,1
343,1179719,11077852,1
344,1179719,7263452,1
345,1179719,25397992,1
346,1179719,18243826,1
347,1179719,14566132,2
348,1179719,15297782,1
349,1179719,2496252,1
350,1179719,6928642,1
351,1179719,18562307,2
352,1179719,12847372,1
353,1179719,19728145,1
354,1179719,19262745,1
355,1179719,1169709,1
356,1179719,19997487,1
357,1179719,1526075,1
358,1179719,1078077,1
359,1179719,5282132,1
360,1179719,1371991,3
361,1179719,18506072,4
362,1179719,18286946,1
363,1179719,5618532,1
364,1179719,19934054,1
365,1179719,11625832,1
366,1179719,1763190,1
367,1179719,18517376,1
368,1179719,1187715,4
369,1179719,16487812,1
370,1179719,10426762,1
371,1179719,23674770,3
372,1179719,19249559,1
373,1179719,18923420,1
374,1179719,22730657,1
375,1179719,11938732,1
376,1179719,18589616,1
377,1179719,18476981,1
378,1179719,9376702,1
379,1179719,23595967,1
380,1179719,19100119,1
381,1179719,20807142,3
382,1179719,25587693,2
383,1179719,1642477,1
384,1179719,10016242,1
385,1179719,5327862,7
386,1417288,1728035,1
387,1417288,19528743,1
388,1417288,18955830,1
389,1417288,22023226,1
390,1417288,8540732,1
391,1417288,1772099,1
392,1417288,339011,1
393,1417288,16607822,1
394,1417288,168014,1
395,1417288,15552112,1
396,1417288,1292918,1
397,1417288,929402,1
398,1417288,18672773,1
399,1417288,541319,9
400,1417288,19708553,1
401,1417288,1492619,1
402,1417288,1776274,3
403,1417288,18795154,1
404,1417288,7836842,1
405,1417288,18297014,1
406,1417288,1578685,1
407,1417288,4126912,3
408,1417288,16062152,1
409,1417288,19680459,1
410,1417288,4705492,3
411,1417288,11077852,1
412,1417288,8771812,1
413,1417288,22808815,1
414,1417288,15297782,1
415,1417288,2496252,1
416,1417288,21715712,1
417,1417288,1358081,2
418,1417288,18562307,1
419,1417288,18456837,1
420,1417288,19728145,1
421,1417288,19416348,1
422,1417288,1274150,1
423,1417288,18425641,1
424,1417288,1169709,2
425,1417288,4063542,1
426,1417288,1354051,1
427,1417288,11626822,1
428,1417288,5282132,1
429,1417288,19266390,1
430,1417288,18506072,2
431,1417288,18529135,1
432,1417288,14396812,1
433,1417288,21837219,1
434,1417288,3376042,2
435,1417288,18314669,2
436,1417288,711599,1
437,1417288,23112117,1
438,1417288,18977219,1
439,1417288,1349592,1
440,1417288,1576921,1
441,1417288,1498076,1
442,1417288,18573279,2
443,1417288,204767,1
444,1417288,20348898,1
445,1417288,22197221,1
446,1417288,19654655,1
447,18604107,339011,1
448,18604107,18495240,1
449,18604107,1102353,1
450,18604107,19030621,1
451,18604107,929402,4
452,18604107,1473660,1
453,168014,1358081,2
454,168014,981249,1
455,168014,19728145,3
456,168014,19416348,1
457,168014,1728035,2
458,168014,1169709,3
459,168014,1451826,1
460,168014,1697586,1
461,168014,18955830,1
462,168014,1526075,1
463,168014,1078077,1
464,168014,1354051,1
465,168014,1457232,1
466,168014,13560402,1
467,168014,5282132,1
468,168014,18677333,1
469,168014,18506072,2
470,168014,20129636,1
471,168014,20440175,3
472,168014,24039540,1
473,168014,929402,1
474,168014,1473660,1
475,168014,18517376,1
476,168014,710272,1
477,168014,1187715,2
478,168014,16487812,2
479,168014,18821254,1
480,168014,541319,5
481,168014,1492619,1
482,168014,20182158,1
483,168014,1776274,2
484,168014,18494105,1
485,168014,17487002,1
486,168014,22374557,1
487,168014,22730657,1
488,168014,21837219,1
489,168014,18801828,1
490,168014,3376042,1
491,168014,20336043,1
492,168014,1324203,1
493,168014,15335602,1
494,168014,18297014,2
495,168014,4126912,1
496,168014,18180033,1
497,168014,227528,1
498,168014,1751502,1
499,168014,11077852,1
500,168014,8771812,1
501,168014,19198182,1
502,168014,526316,1
503,168014,1642477,1
504,168014,18361585,1
505,168014,18232817,1
506,168014,18243826,1
507,168014,6629622,1
508,168014,47094,1
509,18399311,6928642,1
510,18399311,20129636,1
511,18399311,20384452,1
512,18399311,20166757,1
513,18399311,1578685,1
514,18602064,6928642,1
515,18602064,18795154,3
516,18602064,19262745,1
517,18602064,15552112,2
518,18602064,18468466,1
519,18602064,24568502,2
520,18602064,18592827,2
521,23742545,19728145,1
522,23742545,191516,1
523,23742545,19934054,1
524,23742545,1324203,1
525,23742545,18361585,1
526,23742545,11776502,1
527,23742545,18297014,1
528,17770582,24906881,1
529,17770582,23398017,1
530,17770582,1358081,1
531,17770582,7138452,2
532,17770582,18494105,1
533,17770582,10016162,1
534,17770582,21837219,1
535,17770582,1728035,1
536,17770582,19277993,1
537,17770582,18314164,2
538,17770582,1360698,1
539,17770582,1078077,1
540,17770582,9376702,2
541,17770582,6707902,1
542,17770582,14546632,1
543,17770582,13560402,5
544,17770582,18616278,2
545,17770582,1498076,1
546,17770582,8771812,2
547,3047512,1187715,3
548,3047512,12847372,1
549,3047512,19728145,3
550,3047512,1102353,1
551,3047512,15770262,1
552,3047512,20421535,1
553,3047512,2556962,1
554,3047512,4063542,1
555,3047512,18955830,1
556,3047512,22585660,1
557,3047512,339011,1
558,3047512,227528,1
559,3047512,1431882,1
560,3047512,1457232,1
561,3047512,1371991,1
562,3047512,22197221,1
563,3047512,18266348,1
564,3047512,6190702,6
565,3047512,18602480,2
566,3047512,1505523,1
567,3047512,929402,3
568,2150491,18562307,2
569,2150491,217795,1
570,2150491,18714758,1
571,2150491,14649032,1
572,2150491,19713173,1
573,2150491,18425641,1
574,2150491,18297014,1
575,2150491,18955830,1
576,2150491,1526075,1
577,2150491,18549438,1
578,20947040,535553,1
579,20947040,19194894,1
580,20947040,1102353,1
581,20947040,1728035,2
582,20947040,18955830,1
583,20947040,11294262,1
584,20947040,20181560,1
585,20947040,16321082,1
586,20947040,16607822,1
587,20947040,13560402,5
588,20947040,16477792,1
589,20947040,1671273,1
590,20947040,6190702,1
591,20947040,15552112,1
592,20947040,7130232,3
593,20947040,929402,1
594,20947040,1776274,2
595,20947040,7138452,1
596,20947040,19713173,1
597,20947040,18494105,5
598,20947040,252576,1
599,20947040,26090658,1
600,20947040,19277993,1
601,20947040,7836842,8
602,20947040,25129130,1
603,20947040,6707902,3
604,20947040,4126912,1
605,20947040,10178242,6
606,20947040,19904711,1
607,20947040,14546632,1
608,20947040,16062152,4
609,20947040,11184352,6
610,20947040,8771812,1
611,20947040,18361585,2
612,20947040,15297782,5
613,20947040,18556157,1
614,20947040,1358081,1
615,20947040,1787157,1
616,20947040,16954142,1
617,20947040,18850080,3
618,20947040,22643488,1
619,20947040,25521445,2
620,20947040,1360698,3
621,20947040,20806988,1
622,20947040,23353167,2
623,20947040,5282132,1
624,20947040,22021463,1
625,20947040,5618532,1
626,20947040,11625832,4
627,20947040,3173762,4
628,20947040,1187715,1
629,20947040,16487812,4
630,20947040,14396812,1
631,20947040,19218850,4
632,20947040,21837219,1
633,20947040,23594916,14
634,20947040,3376042,1
635,20947040,20583850,1
636,20947040,17467312,3
637,20947040,18589616,3
638,20947040,405938,1
639,20947040,18314164,1
640,20947040,9376702,1
641,20947040,18180033,1
642,20947040,16536012,1
643,20947040,1498076,1
644,20947040,17872862,2
645,20947040,204767,1
646,20947040,10016242,4
647,20947040,19654655,1
648,20166757,19262745,3
649,20166757,19416348,1
650,20166757,21533726,1
651,20166757,18955830,2
652,20166757,1360698,1
653,20166757,19108156,2
654,20166757,339011,1
655,20166757,16607822,2
656,20166757,7151442,1
657,20166757,16477792,1
658,20166757,11625832,1
659,20166757,15552112,1
660,20166757,7130232,1
661,20166757,24277119,1
662,20166757,16487812,2
663,20166757,21686664,1
664,20166757,1776274,2
665,20166757,11862932,1
666,20166757,18494105,2
667,20166757,7836842,1
668,20166757,17467312,1
669,20166757,405938,1
670,20166757,1578685,1
671,20166757,4126912,2
672,20166757,10178242,1
673,20166757,14649032,2
674,20166757,16062152,1
675,20166757,18616278,3
676,20166757,11077852,3
677,20166757,22197221,1
678,20166757,18361585,2
679,20166757,10016242,1
680,20166757,15297782,2
681,20166757,19654655,1
682,1507431,12847372,1
683,1507431,19194894,1
684,1507431,19728145,7
685,1507431,2556962,1
686,1507431,18642226,1
687,1507431,18955830,4
688,1507431,20181560,1
689,1507431,339011,1
690,1507431,1772099,1
691,1507431,1371991,1
692,1507431,24039540,1
693,1507431,929402,1
694,1507431,1187715,4
695,1507431,24803205,1
696,1507431,19708553,1
697,1507431,10426762,1
698,1507431,18665368,1
699,1507431,18314669,2
700,1507431,18297014,3
701,1507431,20384452,1
702,1507431,24431556,1
703,1507431,16062152,1
704,1507431,227528,1
705,1507431,18660552,1
706,1507431,7699922,1
707,1507431,1349592,4
708,1507431,22197221,1
709,1507431,1642477,2
710,1507431,18634990,1
711,1507431,18243826,3
712,1507431,1505523,1
713,1507431,24693747,1
714,1507431,18414590,1
715,1507431,23394559,1
716,1671273,3173762,1
717,1671273,1187715,1
718,1671273,16487812,1
719,1671273,1728035,1
720,1671273,7836842,2
721,1671273,18589616,1
722,1671273,17467312,1
723,1671273,405938,1
724,1671273,1360698,1
725,1671273,9376702,1
726,1671273,10178242,2
727,1671273,14649032,1
728,1671273,16607822,1
729,1671273,23353167,1
730,1671273,17872862,1
731,1671273,15552112,1
732,1671273,18361585,1
733,1671273,15297782,1
734,1671273,929402,1
735,1671273,18556157,1
736,18823274,1187715,1
737,18823274,13288852,1
738,18823274,5282132,1
739,18823274,16477792,1
740,18823274,15552112,1
741,18823274,18955830,1
742,18823274,7130232,1
743,18823274,7700282,1
744,17836142,710272,1
745,17836142,535553,1
746,17836142,1187715,1
747,17836142,18562307,1
748,17836142,16487812,1
749,17836142,18714758,1
750,17836142,1665418,1
751,17836142,19728145,2
752,17836142,19713173,1
753,17836142,11131552,1
754,17836142,788001,1
755,17836142,20186791,2
756,17836142,7836842,2
757,17836142,711599,1
758,17836142,18955830,1
759,17836142,9376702,1
760,17836142,18549438,1
761,17836142,339011,1
762,17836142,19049542,1
763,17836142,16062152,1
764,17836142,227528,1
765,17836142,18506072,2
766,17836142,21174496,1
767,17836142,19827046,1
768,17836142,20807142,1
769,17836142,526316,5
770,17836142,18243826,1
771,17836142,10016242,1
772,24039540,12847372,1
773,24039540,19728145,2
774,24039540,18425641,1
775,24039540,18955830,1
776,24039540,20181560,1
777,24039540,1526075,3
778,24039540,528705,1
779,24039540,1772099,1
780,24039540,24431556,1
781,24039540,21522768,1
782,24039540,1349592,4
783,24039540,11077852,1
784,24039540,22197221,1
785,24039540,526316,1
786,24039540,18243826,1
787,24039540,47094,1
788,24748157,18361585,1
789,24748157,1324203,1
790,24748157,24675279,1
791,24277119,1187715,1
792,24277119,18562307,1
793,24277119,227528,1
794,24277119,11375762,1
795,24277119,19713173,1
796,24277119,18616278,1
797,24277119,20269464,1
798,24277119,19847832,1
799,24277119,18506072,1
800,24277119,11077852,1
801,24277119,20807142,2
802,24277119,18955830,3
803,24277119,1763190,1
804,18714758,18562307,1
805,18714758,217795,1
806,18714758,1665418,1
807,18714758,1457232,1
808,18714758,19713173,1
809,18714758,18506072,1
810,18714758,18425641,1
811,18714758,18243826,1
812,18714758,18955830,1
813,18714758,8908602,1
814,18714758,18549438,5
815,18821254,3376042,1
816,18821254,18232817,1
817,18821254,13560402,1
818,18821254,1776274,1
819,18821254,19416348,1
820,20068490,710272,1
821,20068490,19728145,1
822,20068490,788001,1
823,20068490,19687074,1
824,20068490,1324203,2
825,20068490,11776502,2
826,20068490,929402,1
827,19824779,18556100,1
828,19824779,2520612,1
829,19824779,8805172,1
830,19824779,19713173,1
831,19011737,18589616,1
832,19011737,19728145,1
833,19011737,13560402,1
834,19011737,6707902,1
835,22374557,710272,1
836,22374557,18562307,1
837,22374557,1187715,1
838,22374557,6335372,1
839,22374557,17487002,1
840,22374557,21262880,1
841,22374557,1324203,1
842,22374557,15335602,2
843,22374557,8805172,1
844,22374557,18180033,1
845,22374557,339011,2
846,22374557,227528,6
847,22374557,20807142,1
848,22374557,526316,3
849,22374557,1741429,1
850,15186082,2520612,1
851,15186082,22771879,1
852,15186082,1776274,1
853,15186082,1763190,1
854,15186082,20780059,1
855,24744100,11184352,1
856,24744100,23594916,1
857,25516196,21957723,1
858,25516196,18801828,1
859,25516196,1741429,1
860,25516196,16954142,1
861,19099815,4126912,2
862,19099815,21989057,1
863,19099815,19728145,1
864,19099815,7700282,3
865,19099815,19416348,1
866,19099815,252576,4
867,19099815,9307682,2
868,19099815,19528743,3
869,19099815,20583850,1
870,19099815,1169709,1
871,19099815,20440175,1
872,19099815,18602480,1
873,19099815,22023226,1
874,19099815,19108156,1
875,22771879,12588802,1
876,22771879,18672773,1
877,22771879,18495240,1
878,22771879,14396812,1
879,22771879,12847372,1
880,22771879,20780059,1
881,22771879,19277993,1
882,22771879,16140462,1
883,22771879,18297014,1
884,22771879,1360698,1
885,22771879,4705492,1
886,22771879,1349592,1
887,22771879,23053409,1
888,22771879,11625832,1
889,22771879,18634990,4
890,19277993,535553,7
891,19277993,12588802,2
892,19277993,19194894,2
893,19277993,18850080,2
894,19277993,1728035,2
895,19277993,19997487,3
896,19277993,1360698,8
897,19277993,16321082,1
898,19277993,23353167,3
899,19277993,7151442,2
900,19277993,13560402,2
901,19277993,5282132,1
902,19277993,20135762,6
903,19277993,18779992,4
904,19277993,16477792,10
905,19277993,5618532,3
906,19277993,11625832,12
907,19277993,18837102,2
908,19277993,7130232,3
909,19277993,3173762,2
910,19277993,16487812,5
911,19277993,14396812,1
912,19277993,11862932,2
913,19277993,19713173,1
914,19277993,18494105,2
915,19277993,10016162,3
916,19277993,21837219,2
917,19277993,19218850,1
918,19277993,23594916,1
919,19277993,25129130,1
920,19277993,17467312,2
921,19277993,18589616,6
922,19277993,405938,1
923,19277993,16447162,3
924,19277993,9376702,3
925,19277993,6707902,9
926,19277993,4126912,1
927,19277993,10178242,3
928,19277993,19904711,1
929,19277993,14546632,2
930,19277993,18616278,5
931,19277993,17872862,14
932,19277993,14557662,2
933,19277993,8771812,10
934,19277993,18634990,1
935,19277993,10016242,6
936,19277993,15297782,3
937,19277993,19654655,1
938,25129130,17894222,2
939,25129130,18314164,1
940,25129130,6707902,1
941,22796457,21174496,1
942,22796457,339011,1
943,22796457,19964997,1
944,22796457,526316,1
945,22796457,1349592,1
946,22796457,22585660,1
947,16140462,18495240,1
948,16140462,12847372,2
949,16140462,19713173,1
950,16140462,19262745,1
951,16140462,22643488,1
952,16140462,5282132,2
953,16140462,11077852,2
954,16140462,21747934,4
955,16140462,23053409,7
956,16140462,22422502,1
957,16140462,1805550,1
958,16140462,15552112,1
959,16140462,1505523,1
960,16140462,22130047,1
961,15335602,710272,1
962,15335602,18562307,2
963,15335602,1787157,1
964,15335602,19249559,1
965,15335602,18494105,1
966,15335602,26040985,1
967,15335602,191516,1
968,15335602,6641192,1
969,15335602,1324203,1
970,15335602,18180033,1
971,15335602,227528,5
972,15335602,18506072,2
973,15335602,22197221,1
974,15335602,22422502,1
975,15335602,19934054,1
976,15335602,22736876,1
977,15335602,16548342,1
978,15335602,11776502,1
979,18297014,1102353,2
980,18297014,191516,2
981,18297014,18955830,13
982,18297014,20181560,1
983,18297014,22023226,1
984,18297014,10000962,1
985,18297014,339011,6
986,18297014,1772099,2
987,18297014,16607822,1
988,18297014,1457232,5
989,18297014,6190702,6
990,18297014,15552112,1
991,18297014,1741429,1
992,18297014,929402,2
993,18297014,1473660,1
994,18297014,24906881,1
995,18297014,23398017,1
996,18297014,1240194,1
997,18297014,18672773,1
998,18297014,541319,2
999,18297014,19708553,1
1000,18297014,19713173,5
1001,18297014,19847832,1
1002,18297014,20186791,1
1003,18297014,18549438,1
1004,18297014,10178242,1
1005,18297014,19556549,1
1006,18297014,227528,2
1007,18297014,14546632,1
1008,18297014,19680459,2
1009,18297014,4705492,2
1010,18297014,11077852,1
1011,18297014,21174496,4
1012,18297014,25681644,1
1013,18297014,18634990,1
1014,18297014,18243826,23
1015,18297014,1505523,2
1016,18297014,6629622,1
1017,18297014,18562307,3
1018,18297014,18495240,3
1019,18297014,12847372,3
1020,18297014,19728145,28
1021,18297014,8805172,1
1022,18297014,1078077,2
1023,18297014,528705,1
1024,18297014,1431882,2
1025,18297014,19496778,1
1026,18297014,24584525,1
1027,18297014,5282132,1
1028,18297014,1371991,8
1029,18297014,18506072,7
1030,18297014,20377949,1
1031,18297014,24811380,1
1032,18297014,1786237,2
1033,18297014,1187715,11
1034,18297014,6335372,1
1035,18297014,14396812,2
1036,18297014,20336043,2
1037,18297014,18314669,5
1038,18297014,18476981,1
1039,18297014,1751502,1
1040,18297014,7699922,6
1041,18297014,1349592,2
1042,18297014,1576921,1
1043,18297014,18573279,1
1044,18297014,1622500,1
1045,18297014,22197221,2
1046,18297014,1642477,5
1047,18297014,19094001,1
1048,18297014,24693747,1
1049,18297014,16548342,1
1050,18297014,11776502,1
1051,18297014,19654655,1
1052,4126912,535553,2
1053,4126912,19194894,3
1054,4126912,21533726,2
1055,4126912,2556962,1
1056,4126912,19528743,1
1057,4126912,22817838,1
1058,4126912,22023226,5
1059,4126912,339011,2
1060,4126912,19964997,3
1061,4126912,21957723,1
1062,4126912,7130232,4
1063,4126912,19713173,1
1064,4126912,18801828,3
1065,4126912,7836842,4
1066,4126912,1324203,1
1067,4126912,18964683,1
1068,4126912,4705492,10
1069,4126912,21043417,1
1070,4126912,11077852,2
1071,4126912,21174496,1
1072,4126912,8771812,1
1073,4126912,18361585,1
1074,4126912,18243826,1
1075,4126912,15297782,5
1076,4126912,18556157,1
1077,4126912,1358081,25
1078,4126912,18562307,1
1079,4126912,1787157,1
1080,4126912,19262745,1
1081,4126912,19416348,3
1082,4126912,1433893,2
1083,4126912,1169709,1
1084,4126912,19108156,5
1085,4126912,528705,1
1086,4126912,11626822,2
1087,4126912,4268372,1
1088,4126912,22021463,4
1089,4126912,18506072,1
1090,4126912,11625832,1
1091,4126912,24553853,1
1092,4126912,3173762,1
1093,4126912,16487812,7
1094,4126912,21686664,1
1095,4126912,19218850,1
1096,4126912,21837219,2
1097,4126912,20583850,1
1098,4126912,405938,1
1099,4126912,16536012,1
1100,4126912,1751502,2
1101,4126912,1622500,3
1102,4126912,19094001,4
1103,4126912,10016242,9
1104,4126912,16548342,1
1105,4126912,18798102,1
1106,4126912,788001,1
1107,4126912,9307682,2
1108,4126912,1728035,9
1109,4126912,18855476,1
1110,4126912,18955830,7
1111,4126912,11294262,2
1112,4126912,10000962,1
1113,4126912,16607822,2
1114,4126912,13560402,3
1115,4126912,16477792,4
1116,4126912,6190702,1
1117,4126912,15552112,1
1118,4126912,24153712,1
1119,4126912,1741429,2
1120,4126912,929402,1
1121,4126912,19033734,1
1122,4126912,541319,4
1123,4126912,1492619,3
1124,4126912,1776274,29
1125,4126912,18494105,6
1126,4126912,252576,2
1127,4126912,16447162,1
1128,4126912,6707902,1
1129,4126912,21989057,2
1130,4126912,10178242,4
1131,4126912,16062152,1
1132,4126912,14649032,2
1133,4126912,14546632,2
1134,4126912,21715712,1
1135,4126912,19728145,3
1136,4126912,16954142,3
1137,4126912,19997487,3
1138,4126912,18471729,4
1139,4126912,1360698,3
1140,4126912,8908602,2
1141,4126912,7700282,1
1142,4126912,18996036,2
1143,4126912,14380872,1
1144,4126912,7151442,2
1145,4126912,19266390,2
1146,4126912,1371991,1
1147,4126912,18779992,2
1148,4126912,5618532,2
1149,4126912,18529135,2
1150,4126912,1187715,2
1151,4126912,19266450,1
1152,4126912,11862932,2
1153,4126912,13728662,1
1154,4126912,1743773,1
1155,4126912,3376042,2
1156,4126912,711599,3
1157,4126912,18589616,2
1158,4126912,17467312,2
1159,4126912,18314164,1
1160,4126912,18476981,1
1161,4126912,9376702,1
1162,4126912,16067522,4
1163,4126912,18616278,3
